0	3	5	1	2
0	1	2	3
1	2	4	0	7
0	2	1	7
0	3,2	6	1	4
1	2	3	5
0	2	1	4,3
3	4	8	2
3	5	0	6
0	1	2	4
2	3	15	8
0	2	1	6
0	1	2	3
0	2	3	5
0	1	3	8
1	2	7	10
0	2	3	11
2	5	4	3
6	7	8	12
0	1	2	7
6,5	10	22,21	0
2,0	4	9	12
0	3	5	2
0	2	1	4
0	2	10	1
2	3	5
1	4	6	15
0	2	8	6
3	2	4	1
0	1	2	9
1	6	2	4
1	6	7	11
0	2	3	6	8
1	7	6	4
2	14	10	6
1	3	7	5
0	3	13	4
0	2	3	4
1	2	0	9
5	6	1	2
0	1	2	3
4	12	14	7
1	4	3	16
0	1	4	8
2	5	11	14
0	1	4	2
0	1	4,5	2
4	7	2	8
1	3	2	8
3	14	10	21
0	5,4	6	1	8
0	5	8	19
2	8	4	9
1	7	13	11
0	1	5	15
0	3	11	4
1,2	6	12	7
5	7	13,11	-1	7
0	6	14	4
0	4	2	1
0,1	6	7	5
1	2	3	10
0,1	10	2	6
0	1	5	3
0	1	2	5
5	7	11	15
4	17	2	24
0	2	8	3,4
0	1	2	11
2	4	6	0
0	1	7	6
0	1	9	5
0	6	1	3
0	1	6
1	6	12	3
0	2	1	5	4
1	3,2	0	6
0	2	4	1
0	1	4	5
3	4	12	9
0	3	2	1
0	1	7	3
0	1	3	7
1	5	3	6
2	6	7
0	3	1	5
0	5	2	6
0	10	6	4
3	7	0	25
1,0	2	8	9
0	5	1	2
0	4	2	16
0	1	3	11,10
1	3	2	10
2	3	5	11
1	4	17	36
1	3	6	0
0	5	4	1,3	7
2	4	3	8
2	7	10	19
0	2	1	5
1	7	2	18
0	1	5	4
1	3	7	6
14	2	15,16	18
1	2	9	7
3	6	2	22
0	1	6	17
3	4	9	1
0	1	4	6
1	2	3	7
1	9	10	5
0	3	2	14
0	1	3	5
1	3	10,9	2
1	3	13	6
0	1	4	5
0	5	9	1
1	3	0	8
0	7	6	4	8
0	6	10	1
1	5	6	8
0	1	6	3
0	1	4	6
0	1	4
1	3	2	4
4	5	3	9
0	1	3	2
0	2	1	3
1	8	3	5
0	1	3	2
0	1	4	2
1	2	3	6
0	1	4	3
0	4	6	2	3
0	2	1	4	6
0	8	12	5
0	1	2	11
0	2	5	8
4	2	6	5
4	8	7	11
0	3	4	1
0	1	4	2
0	1	5	3
0	5	4	7
2	9	5	3
0	2	9
0	1	2	3
0	1	2	4
1	2	3
0	1	2	3
1	3	7
0	1	11	7
2	4	0	7
2	4	9	7
1	6	10	4
0	8	1	3
0	4	5	1
0	1	10	7
3,2	11	10	8,9
1	21	5	12	16
7	4	16	10,11
3	10	12	8
1	8	7	12
0	3	5	13	6
0	1	3	6
0	1	5	2
0	1	2	3
0	1	4	6
0	2	1	4,3
0	2	6	4
0	1	2	3
0	1	5	3
1	2	3	5
0	1	2	4
0	3	5	4
2	5	4	1
0	1	2	7
1	6	2	4
3	4	8
0	1	14	7
2	4	5	1	14
0	8	5	3
0	2	4	6
0	2	8	4
1	5	10	2
0	1	4	3
1	7	3	28
0	1	16	3
2	3	7	17
0,1	6	16	2
0	1	3	7
0	2	6	5
0	5	7	2
0	2	4	6
1	7	4	2
0	6	12	4	11
0	1,2	3	16
1	2	13	11
0	1	6	2
1	2	3	6
4	6	3	1
0	1	2	6
2	3	6	0
0	1	7	9
1	2	3	5
0	20	15	3
2	3	6	10
0	2	3	1	10
0	1	2	4
0	3	4	7
0	1	3	17,16
0	1	8,7	6,4
0	8	12	2
1	4	5	6
0	1	9	4
0	1	2	3
0	6	3	2	8
0	6	1	7
2	3	7	9
1	3	6	4
0	2	5	4
0	4	1	7
0	1	5	7
0	2	12	10
2	4	3	1
2	3	8	5
0	4	21	9
1	3	0	10
0	1	5	3
0	1	7	4
1	3	2	7
0	10	2	6
2	1	4	6
0	14,4	9	7
2,1	3,4	6	8
0	1	10	8
2	3	4	7
1	6	5	9
1	4	5	15
2	5	4	6
7	2	12,14	10
2,1	5	3	0
0	4	2	5	3
0	2	3	7	1
2	8	3	5,4
1	5	8	3
0	1	4	3
0	1	3	5
0	1	7	2
0	1	4	9
0	1	2	3
0	1	2	3
0	1	3	5
0	3	2	1	5
4	5	3	9
0	1	2	7
0	4	2
18	16	5	6
0	3	8	11
0	2	7	1
0	1	4	3
7	2	10	15
0	2	1	6
0	2	5	11
0	2	3	1
3	1	6	4
0	1	2	9
2	3	5	6,7
0	1	4	2
0	3	2	1
1	2	4	12
0	1	4	3
0	14	11	6
1	3	7	11
1	6	7	3	5
0	1	3	6
0	1	16	5
0	1	3	4
2	4	8	5
0	2	9	3
0	1	4	5
0	19	2	3
0	1	4	2
0	8	7	2
2	12	4	27
1	4	3	2
1	13	3	2
0	12	10	2
0	3,10	9	4
1	8	5,6	4
0	1	2	3
0	2	1	7
0	6	16	7
0	2	7	1
1	4	6	3
0	3	1	4
0	1	4	2
0	2	3	1
0	4	8	27
0	3	4	1
3	2	5	11
2	6,7	3	8
0	10	2	8
0	2	4	5
1	3	15	6
1	2	5	6
3	6	7	2
1	0	2
0	16	18	11
0	1	2	4
0	1	2	4
1	3	5	8
0	1	1	4
3,4	6	11	2	8
0	1	6	8
0	2,3	16	14
5	12	9	23
0	1	4	6
0	2	1	4
2	1	3	4
0	2	1	4	3
31	2,1	6	7
3	25	30	6
6	3	8	4
0	3	5	1
21	25	11,9	40
5	10	0,1
0	5	8	2
0	2	7	3
1	6	16	2
0	14	5	19
0	5	2	1
0	3	4	1
0	4	3	13
0	1	8	7
0	1	2	12,13
0	3	1	2
0	1	9	10
1	3	4	6
0	7	6	5
0	6	4	1
0	5	13	2
2	5	4	6
0	1,2	9	4
1	13	4	2
1	9	10	3
6	4	11	23
0	17	13	4
5	7	-1	3
0	4	6	1
0	2	9	4
2	6	3	1
7,6	12	23	10
2	6,7	8	10
0	5	3	4
0	7	5	8
0	1	4	6
0	11	20	14
2	6	5	4
1	5	3	0
2	4	0	5	6
0	3	2	5
0	2	1	4	9
2	10	6
0	2	3	4
0	1	15	13
0	3	1	20
0	3	1	2
1	3	2	5
2	4,11	6	5
0	6	25	18
0	2	1	5
1	2	5	12
1	3	4	0
1	2	3	8
3	7	10	5
2	1	4	3
1	3,4	2	7
0	8	1	38
0	1	2	4
1	2	7	5
0	1	5	2
0	2	3	12	1
0	2,13	6	11
0	1	4	13
0	6	4	3
0	2	3	8
1	2,3	4	0	14
0	1	19	21
1	2	4	0
0	2	1	8	19
0	5	1	2
0	1	3	6
0	1	4	3
0	1	3	9
0	1	9	5
2	3	4	15
0	5	3	10	46
0	7	8,9	2
1	5	2	17
2	3	4	1
1	7	8	5
0	3	2	1
2	9	6	10
0	1	3	4
0	1	2	7
1	13	1	2
0	1	2	3
1	10	8	2	3
1	2	3	7
0	2	8	10
1	8	-1	18
0	7	8	1
1	3	2	7
2	3	8	5
5	9	1	11
0	1	4	5
0	2	3	6,7
3	1	0	5	9
0	2,1	8	5
29,30	8	35	16,15
0	3	4	1
0	2	13	18
0	2	1	3
0	3	5	2
0	4	5	1
0	1	2	5
5	14	10	7
0	7	9,10	2
0	2	11	8
0	4	1	3
0	1	3	7
2	3	1	7
0	1	3	6
0	1	2	4
0	2	7	6
0	2	1	5
0	2	5	4
1	4	3	6
4	3	5	8
0	1	4	10
0	1	11	6
1	5	8	3
0	1	2	8
0	3	1	2
1	2	9	13
0	2	7	6
0	0	1	2
1	5	3	7
0	2	7	8
2	10	6	1
0	3	2	4
1	4	6	3
0	1	2	5
0	2	4	1
0	7	6	1
0	2	1	5
0	4	8	1	9
0	1	4	7
0	4	9	2
0	1	11	6
3	4	5	18	15
0	6	11	17
0	2	4	6
0	1	3	11
0	4	2	9
0	2	4	6
0	1	4	3
0	3	5	6	2
0	1	5	16
10	2	1	9
1	3	4	2
0	8	10
4	3	6	1
0	1	9	2
0	1	4	9
6	11	15	31
0	11	18	3
0	3	13	2
2	3	1	10
0	1	7	3
0	4	1	12
0	6	5	8
1	5	2	4
0	1	8	3
2	1	4	3
0	1	3	6
0	2	1	7,8	4
2	3	9	11
4	5	6	3
1	4	5	7
3	5	1,2	20
1	2	5	3
0	1	4	2
1	3	5	8
0	7	1	3	2
1	6	5	0
0	14	2	10
0	1	4	7
6	3	10	1	16
0	3	1	4
2	3	1	5	0	9
0	1	4	5
0	3	4	1
1	4	2	5
0	1	4	3
1	6	2	10,12
1	2	5	8
0	1	3	13
0	1	8	5
0	1	2	6
2	3	6	1
0	3	9	10
0	5	2,1	4	9
0	1	3	4
0	4	2	5
1	4	11	8
0	4	5	7
0	1	4	9
0	3	4	1
1	6	7	8
0	3	1	2
1	2	3	4
0	1	8	2
0	4	6	11
0	1	6	2	5
0	3	7	10
5	6	7	13
0	14	9	31
1	7	5	3
1	7	5	2
0	2	3	1	7
0	4	1	7
8	2,1	5	3
0	4	6	1
3	4	7
7	8	2	6
0	14	6	5,4
0	1	2	5
2	14	3	4
2	15	14	12
0	1	4	2
0	3	1	10
3	4	5	11
0	5	1	3
0	1	5	4
0	5	8	3,1
0	3	1	5
0	3	1	5
1	4	7,18	16
4	5	8	7
5	23	10	24
4	15	9	7
0	6	2	9	1	3
0	1	2	4
0	1	4	2
1	4	6	7
0	7	2	3
1	2	7	6
1	9	2	4,3
4	5	8,9	7
0	3	7	6
1	4	6	2
0	7	9	11
2	3	8	13
1	3	4,5	7
0	1	5	4
0	1	2	3
0	1	2	4
6	7	5	0	3,4
0	2	1	4
0	7	1	5
0	8	7	10
0	1	5	4
2	3	15	8
0	2	5	4
0	4	1	3
0	1	2	4
0	1	6	5
2	1	3	5
0	1	3	4
0	1	2	4
3	2	5	7
0	2	6	8
4	6	12,10	1	6
0	1	4	6
0	1	3	2
0	8	5	2
0	2	3	1
4	9	19	0
3	4	1	18	14
0	2	1	4
0	2	1	3
2	3	4	10
0	1	11	10
5	9	7	0
0	1	2	3
0	1	3	6
4	6	12,10	-1	6
0	1	12	4
5	7	2	5	36,34
0,1	10	5
2	7	10	6
2	9	12	6
1	7	6	22
0	1	4	2
0	1	2	5
0	1	6	7
0	7	3	11
0	3	5	1
2	4	1	7
0	1	6	5
0	1	3	2
0	2	12	9
0	1	3	5
0	5	4	1	9
0	2	7	1
4	9	13	0
1	2	6	8
0	1	8	2
5	9	7	6
0	1	4	7
0	7	3	5
0	3	2	8
0	4	6	2
3	12	8	1
0	1	2	3
0	7	3	5
0	1	3	9
0	4	8	7
0	1	6	3
2	7	4	10
1	3	2	5
0	7	1	3
1	4	2	3
0	5	1	2	4
1	2	8,9	15
1	5	6	2
0	2	5	1
0	2	4	6	3
0	3	5	2,1
0	2	4	1
3	6	8	1
4	5	14	6
1	3	5	0
0	1	2	3
0	6	5	4
0	3	2	6
0	1	3	2
1,0	5	3	10
0	1	4	2
1	2	6	5	4
2	3	4	6	0
0	8	2	3
0	1	3	12
1	2	4	5
0	1	5	2
3	1	2	13
1	2	4	7	0
4	1	8	7
1	2	3	5
1	2	6	5	0
2	4	3	5
1	2	4	6	3
1	11	4	3	9
1	2	6	4
1	2	3	5	6	4	0
3	4	3	4	0
4	2	5	6	1
0	1	2	3	4
1	2	5	4
9	2	11	8
1	2	4	0	3
0	1	5	4
0	1	2	5
3	5	1	0	2
1	2	2	5	7
2	5	4	3
0	1	2	3	14	7
0	1	0	2	5
1	2	4	5
1	2	2	5	0
0	1	2	11
0	1	3	2	9
0	1	5	10
3	1	4	5	0	2
0	1	2	3
0	1	2	3
0	1	2	6
3	1	4	0	2
0	2	1	3	4
3	0	1	2
1	2	7	4	0
1	2	4	12
1	2	3	0	0
1	3	8	5	4
1	4	2	11
0	1	3	2
3	2	4	3	5
1	2	4	3	5
1	2	3	4
0	3	1	5	7,8
0	1	2	4	5
1	2	3	9
3	2	4	7
3	1	4	0	2
3	1	5	0	4
3	1	4	5	2
4	5	0	2	6
0	1	10	2
6	5	7	14	1
0	1	3	2
4	1	0	8
0	1	2	3	19
0	1	18	3	5
-1	1	3	4	2
1	2	3	7	0
0	1	2	4	3
0	1	4	2	3
3	1	2	4	0
1	4	2	5	0
4	1	4	2
1	2	3	5	4	0
5	3	16	6
0	1	3	5
0	1	2	4	3
1	2	6	4	7	0
3	2	4	1	0	10
3	1	0	4	18
1	2	6	3	4	0
4	1	5	1	6
0	1	3	2
1	2	4	3
3	1	0	2	10
5	1	6	15	14
2	3	5	11
0	1	4	2	16
5	5	6	14
4	2	3	6	-1
1	9	4	5	1
0	1	9	8	3
5	1	2	4	3
0	1	7	2	3
0	1	4	2
1	2	7	3
2	3	4	5
4	10	5	11	1	-1
0	1	5	3
0	1	2	15
6	4	11	0	7
4	0	5	1	6
0	1	3	2	5
3	1	4	4	3
0	1	4	3	9	18
0	2	1	3	12
3	1	2	4
3	1	2	5
0	1	3	2	4
8	3	25	5	10,8
4	1	0	6	5
0	1	2	5
0	1	2	15	3
0	1	2	3
4	1	5	2	6
3	1	2	4	0
0	1	2	6
0	1	2	3
0	1	2	3
0	1	2	4
3	1	4	3	2
0	1	4	2
0	1	2	3	10
6	1	2	4	0	7
1	2	6,5	14
0	1	4	2
0	1	2	3	5
0	1	2	4
3	4	1	2	4
1	2	4	6
1	2	3	5	6
5	3	1	6
1	2	5	4	6
0	1	3	4	2
2	5	2	6	1
1	2	3	1
3	1	4	3	2
11	12	3	0,35	15
1	2	3	4
0	1	3,2	4
0	4	1	6
0	1	2	3	11
4	1	3	6
1	2	4	3
1	1	6	11	0
1	2	5	4
5	2	1	6
0	8	7	2
1	2	3	4	6
1	2	6	5	8
1	2	4	3	0
0	3	1	2
10,0	1	3	2
0	1	2	6
0	1	3	2	4
0	1	3	2
0	1	4	3
1	8	7	2	6
0	1	3	4
4	5	10	7	6
0	1	3	2
3	4	1	7	0
0	1	3	2
4	5	10	11	6
0	1	2	3
3	4	2	1	14	12
5	3	4	6	7
0	1	3	2
0	3	2	1	3
0	1	2	-1
3	1	2	4	3
3	1	2	0	8
0	1	5	2
0	1	11	12	3
4	1	5	6	0
0	1	-1	2
0	1	2	4
0	4	1	3	11
0	1	2	3
3	4	1	2	0
0	2	1	4	3
0	1	2	15	3
1	2	3	4	6
0	1	2	4
0	1	4	7
0	1	2	4
0	1	3	2
1	4	5	3
1	2	4	5	0
1	3	3	2	4	0
0	5	6	7
0	1	4	9
0	1	3	4
0	3	2	4	6
0	1	2	4	5
3	4	0	5	1
0	3	2	5	4
1	3	2	15	12
0	4	3	2
0	1	2	3
0	1	3	2	6
1	4	3	5	0
4	5	6	9	6
0	1	2	3	4
3	4	6	11	0	2
4	2	3	5
10	11	12	13
1	2	5	4	10
1	2	4	3
0	1	2	3	8
4	5	10	11	6
0	1	2	3
0	2	10	5
1	2	3	4	0
0	3	6	5
0	1	2	4
0	4	1	2	8
3	1	4	2	5
4	1	3	5	0
0	1	5	3	4
3	-1	1	5	0
0	1	2	4	3
0	1	5	4
2	1	3	13	0
0	1	2	4
0	1	3	5
1	2	3	4
0	1,2	2	28	3
0	1	4	3	-1
4	5	3	2
0	2	1	4	3
7	8	10	3	21
0	1	3	2	4
0	1	4	12	4
0	1	4	5
0	1	6	5
3	11	2	0	4
0	1	2	8	4	3
0	1	2	3
0	3	1	2
0	1	3	12
0	1	4	3
0	1	2	5
0	1	4	8	12
0	1	3	4	2
0	1	4	6
0	1	2	3
0	2	1	7	4
6	4	13,12	2,3	1
3	1	2	4
3	1	4	6
0	1	3	2
0	1	6	3
1	2	4	5
1	2	28	9	0
3	7	6	1	2
0	2	7	3
4	1	4	11
1	2	4	6
1	2	3	6
3	1	6	2	0
0	1	2	5	4
1	2	5	6
5	1	6	7
1	3	2	4
1	2	3	0	0
1	2	3	4	5
2	5	3	4	6
0	1	8	3
3	1	4	5
1	-1	2	4
3	1	8	9
3	4	3	4	5
3	1	4	5
4	5	1	0	7
0	1	3	9	8
0	1	4	3
0	1	6	3
0	1	3	3	2
4	2	4	12
1	3	2	4	0
2	3	8	2
1	2	3	10	4	8	0	6
0	1	2	6
1	2	3	6
1	2	4	6
1	2	3	4
1	2	3	4
0	1	2	4
0	5	1	2
1	2	3	6	0	5
1	2	3	5	4
5	1	7	6	0
1	4	2	0
3	1	2	3
3	1	2	9
3	1	6	0	2	5
4	1	7	13
0	1	2	3	4
0	1	3	7
0	1	3	2
0	1	2	6
0	3	8	9
0	5	1	2	3
4	1	3	4
0	1	3	4	2
1	3	4	2
0	1	3	4	2
0	1	2	4
3	1	4	2	0
1	2	3	4	0
0	1	4	5
0	1	2	3
0	1	2	5
3	4	18	2
0	1	3	4	2
4	5	7	10	1
0	1	2	3	6
4	5	7	10	1	-1
1	2,3	4	5
0	1	2	4	3
0	2	6	3	5
3	4	1	2	7
1	3	8,48	13	12
0	1	4	5	3
0	1	8	5	7
4	1	13	5	2
4	5	1	6	0
4	5	10	6	12
0	1	3	4	2
3	1,3	3,5	16
3	4	2	9	0
4	2	6	3	5	0
6	1	5	7	0
0	9	1	16	8
1	2	3	4	5
0	1	3	2
4	1	0	21	3
-1	1	2	3	6	4
3	1	4	0	17
4	5	6	7	1	9	3
0	1	2	5	8
0	1	2	6	3
3	1	4	5	0	2
1	2	5	4	0	7
0	1	2	5
0	1	2	3	4
3	4	2	5
0	3	5	2	4
2	3	4	1
3	1	4	0	2
0	1	2	3
1	4	2	6
0	1	2	5	4
1	3	6	0	5
6	1	5	3
3	4	1	5	0
0	1	3	4
0	1	3	2	4
1	2	4	3
1	3	1	4	3
3	2	1	4
0	1	4	3
1	2	3	4	0
0	2	4	3	1	7
3	4	2	3
0	1	5	6,3	4
6	5	7	8	4	22
1	2	4	6	3	0
2	7	8	5
3	1	0	2	8	4
0	-1	2	6
0	1	3	2
0	1	5	10	0
0	2	1	4
0	1	2	7
4	2	5	1	10
3	1	3	2
1	2	3	6
1	5	8	2,3
1	6	4	5
0	1	4	8	3
1	2	4	3	0
1	2	4	5
2	3	7	5
4	2	8	1	6
0	5	2	3	4
5	36	1	3	6	0
0	1	3	4
0	1	2	6	3
0	1	4	3
0	2	1	3	5
3	1	4	2
0	1	2	12
3	1	4	2	0
0	1	3	5
1	2	4	3	5
0	1	5	2
5	2	1	4
0	1	3	2	20
0	1	3	2	5
0	1	5	3	4
0	1	3	4
3	1	4	3
0	1	2	4
0	1	3	4
4	5	1	3	13
0	2	3	1	4
3	4	5	24	0	-1	2
5	2	-1	7	4
0	3	1	-1	2
0	1	3	4	2
0	1	3	14
0	1	3	2	5
0	2	1	7
0	2	1	6	5
1	3	3	6	2
0	1	4	17
0	1	3	2	4
0	1	3,2	6
0	1	4	10
0	1	2	5
1	3	0	4	2
3	1	2	4	5	0
0	1	2	12
5	1	3	4	0
5	4	5	1	16
0	1	3	6	5
3	1	2	11	0
0	1	2	4
0	1	4	-1	2
3	1	2	4
4	2	5	3	1,0
0	1	10,11	2
5	6	3	15
0	1	7	0
0	1	4	10
0	1	7	8	12
0	1	6	5
0	1	2	12	3
3	1	4	2	0
0	1	6	4
5	1	0	6	22
4	1	5	0
1	2	3	16	9	0
3	1	4	5	2
9	4	6	12	7
0	1	3	7	6
3	1	2	4	5
4	5	1	6	15	0
1	5	4	2
5	12	9	2	1	0
0	1	2	3
0	1	5	3
0	1	2	6	5
1	4	7	6
1	2	0	3	0
0	1	7	2
0	2	1	3
0	3	6	41
0	1	4	3	9
10	11	6	21	22
0	1	2	4	3
3	1	4	5
4	2	3	13
0	1	2	6	4
5	6	7	1	10	0
1	4	2	3
3	2	1	4	0	6
0	2	1	5
3	1	4	2	5
0	3	4	2	5
3	2	1	4	0	13
0	1	5	2
0	4	2	6
0	1	4	2	7
6	32	0	7	8
3	1	2	4	0
7	8	3	11	9
1	2	17	4	5
3	1	4	7
0	7	8	3	1	5
5	4	1	2	15	0
0	1	5	4
0	1	13	2	3
0	1	2	3
14	1	4	6	3
1	3	4	7	0
1	3	4	2
0	1	4	3	2
1	2	5	6	0	10
1	2	5	4	6
1	2	4	3
2	6	3	4
1	2	12	3
3	1	5	7	2
0	3	2	1	4
8	5	3	9	11
0	4	1	2	5
3	1	5	3	4
1	2	0	4	0
1	2	3	7
0	4	2	10
2	3	5	7
4	4	2	10	0
1	2	4	20	0
1	2	4	1	6
0	4	2	3
9	2	3	0
1	2	5,6	8
0	1	3	5
0	1	3	2
0	2	4	1	5
2	3	4	9
1	6	0	5	7
0	1	4	0	5	2
0	1	2	3
0	5	1	10	2
0	1	3	2
0	-1	3	5	2
0	1	2	4
2	4,3	5	12
0	1	4	2
0	1	2	4	3
0	1	4	2	3
0	1	2	4
